SCITUATE,02857,"1347 CHOPMIST HILL RD, SCITUATE, ri, 02857"
LINCOLN,02838,"21 CENTRAL ST, LINCOLN, ri, 02838"
CRANSTON,02920,"76 BOLTON ST, CRANSTON, ri, 02920"
FOSTER,02825," PAINE RD, FOSTER, ri, 02825"
NORTH PROVIDENCE,02911,"9 CARMINE DR, NORTH PROVIDENCE, ri, 02911"
WARWICK,02888,"181 HARRISON AV, WARWICK, ri, 02888"
EAST PROVIDENCE,02916,"14 ANAMA AV, EAST PROVIDENCE, ri, 02916"
PORTSMOUTH,02871," E MAIN RD, PORTSMOUTH, ri, 02871"
CHARLESTOWN,02813,"19 EAST CENTRAL AV, CHARLESTOWN, ri, 02813"
JOHNSTON,02919,"23 HILLTOP DR, JOHNSTON, ri, 02919"
NARRAGANSETT,02882,"49 CONCH RD, NARRAGANSETT, ri, 02882"
NORTH SMITHFIELD,02896,"1952 PROVIDENCE PIKE, NORTH SMITHFIELD, ri, 02896"
WARWICK,02818,"272 VARNUM DR, WARWICK, ri, 02818"
JOHNSTON,02919," HOPKINS AV, JOHNSTON, ri, 02919"
PROVIDENCE,02905,"151 REYNOLDS AV, PROVIDENCE, ri, 02905"
PROVIDENCE,02907,"108 PEACE ST, PROVIDENCE, ri, 02907"
BARRINGTON,02806,"10 HIGHLAND AV, BARRINGTON, ri, 02806"
BRISTOL,02809,"685 HOPE ST, BRISTOL, ri, 02809"
NEWPORT,02840,"42 SPRING ST, NEWPORT, ri, 02840"
JOHNSTON,02919,"10 WESTWOOD MANOR DR, JOHNSTON, ri, 02919"
CHARLESTOWN,02813,"4820 OLD POST RD, CHARLESTOWN, ri, 02813"
PORTSMOUTH,02871,"41 WOODLAND DR, PORTSMOUTH, ri, 02871"
CRANSTON,02910,"52 ROSLYN AV, CRANSTON, ri, 02910"
PAWTUCKET,02861,"12 KING PHILIP RD, PAWTUCKET, ri, 02861"
WESTERLY,02891,"99 BAY ST, WESTERLY, ri, 02891"
