HYDE PARK,05655,"5294 VT ROUTE 100, HYDE PARK, VT, 05655"
JOHNSON,05656,"120 DUKES RD, JOHNSON, VT, 05656"
PROCTOR,05765,"131 SOUTH ST, PROCTOR, VT, 05765"
BRISTOL,05443,"56 MUNSILL AVE, BRISTOL, VT, 05443"
SOUTH BURLINGTON,05403,"4 STONEHEDGE DR, SOUTH BURLINGTON, VT, 05403"
ESSEX JUNCTION VILLAGE,05452,"100 WEST ST, ESSEX JUNCTION VILLAGE, VT, 05452"
BARTON,05822,"30 PROSPECT ST, BARTON, VT, 05822"
DORSET,05251,"57 FERN HL, DORSET, VT, 05251"
ROCHESTER,05767,"0 MOUNT CUSHMAN RD, ROCHESTER, VT, 05767"
RICHMOND,05477,"346 STONEFENCE RD, RICHMOND, VT, 05477"
BURLINGTON,05408,"38 OAKCREST DR, BURLINGTON, VT, 05408"
BRISTOL,05443,"30 MAPLE ST, BRISTOL, VT, 05443"
WATERBURY,05676,"1 BIDWELL LN, WATERBURY, VT, 05676"
BURLINGTON,05408,"120 WOODLAWN RD, BURLINGTON, VT, 05408"
MONTPELIER,05602,"5 HIGH SCHOOL DR, MONTPELIER, VT, 05602"
UNDERHILL,05489,"309 PLEASANT VALLEY RD, UNDERHILL, VT, 05489"
SUNDERLAND,05252,"955 NORTH RD, SUNDERLAND, VT, 05252"
BRATTLEBORO,05301,"35 SOUTH MAIN ST, BRATTLEBORO, VT, 05301"
HARTFORD,05001,"746 WALLACE RD, HARTFORD, VT, 05001"
BLOOMFIELD,05905,"0 SNOW HILL RD, BLOOMFIELD, VT, 05905"
BRAINTREE,05060,"315 ROCHESTER HOLLOW RD, BRAINTREE, VT, 05060"
BRATTLEBORO,05301,"0 MEADOWBROOK RD, BRATTLEBORO, VT, 05301"
BRATTLEBORO,05301,"0 GREENLEAF ST, BRATTLEBORO, VT, 05301"
BRISTOL,05443,"57 LIBERTY ST, BRISTOL, VT, 05443"
NORTHFIELD,05663,"469 DOYON RD, NORTHFIELD, VT, 05663"
SAINT JOHNSBURY,05819,"134 HIGGINS HILL RD, SAINT JOHNSBURY, VT, 05819"
BROOKLINE,05345,"1318 GRASSY BROOK RD, BROOKLINE, VT, 05345"
ENOSBURGH,05450,"16 THOMPSON LN, ENOSBURGH, VT, 05450"
JOHNSON,05656,"1310 RIVER RD E, JOHNSON, VT, 05656"
DERBY,05829,"103 CHARBO UNKNOWN 7, DERBY, VT, 05829"
PUTNEY,05346,"23 TREATMENT PLANT RD, PUTNEY, VT, 05346"
HUNTINGTON,05462,"37 MEADOW VIEW DR, HUNTINGTON, VT, 05462"
SHELBURNE,05482,"136 MOUNT PHILO RD, SHELBURNE, VT, 05482"
LUDLOW,05149,"800 BIXBY RD, LUDLOW, VT, 05149"
CLARENDON,05759,"520 VT ROUTE 7B   N, CLARENDON, VT, 05759"
LUDLOW,05149,"251 VT ROUTE 100  N, LUDLOW, VT, 05149"
ALBURGH,05440,"0 BOUTAH RD, ALBURGH, VT, 05440"
BURLINGTON,05401,"20 WARD ST, BURLINGTON, VT, 05401"
DORSET,05251,"30 LOIS LN, DORSET, VT, 05251"
WINOOSKI,05404,"50 NORTH ST, WINOOSKI, VT, 05404"
BRATTLEBORO,05301,"41 NORTH ST, BRATTLEBORO, VT, 05301"
WILLISTON,05495,"290 TREE HILL RD, WILLISTON, VT, 05495"
WATERFORD,05819,"1442 HIGGINS HILL RD, WATERFORD, VT, 05819"
POULTNEY,05764,"35 RIVER ST, POULTNEY, VT, 05764"
HINESBURG,05461,"10549 VT ROUTE 116, HINESBURG, VT, 05461"
KIRBY,05832,"3511 RIDGE RD, KIRBY, VT, 05832"
HARTFORD,05001,"464 KINGS HWY, HARTFORD, VT, 05001"
SHAFTSBURY,05262,"887 BUCK HILL RD, SHAFTSBURY, VT, 05262"
WATERBURY,05677,"280 VALLEY VIEW RD, WATERBURY, VT, 05677"
DUXBURY,05676,"172 MORSE RD, DUXBURY, VT, 05676"
BETHEL,05032,"2211 DARTT HILL RD, BETHEL, VT, 05032"
LYNDON,05851,"122 BLUEBIRD LN, LYNDON, VT, 05851"
MILTON,05468,"18 CHRISEMILY LN, MILTON, VT, 05468"
WARREN,05674,"163 UPPER SUMMIT RD, WARREN, VT, 05674"
NORWICH,05055,"166 BEAVER MEADOW RD, NORWICH, VT, 05055"
BENNINGTON,05201,"310 GAGE ST, BENNINGTON, VT, 05201"
WARRENS GORE,05907,"2179 VT ROUTE 114, WARRENS GORE, VT, 05907"
JAMAICA,05343,"29 PIKES FALLS RD, JAMAICA, VT, 05343"
SOUTH BURLINGTON,05403,"170 N  JEFFERSON RD, SOUTH BURLINGTON, VT, 05403"
BARRE TOWN,05641,"29 BARRE VIEW ST, BARRE TOWN, VT, 05641"
READING,05062,"71 BARTLEY FIELD RD, READING, VT, 05062"
WILLISTON,05495,"261 EASTVIEW CIR, WILLISTON, VT, 05495"
FAYSTON,05660,"1957 N   FAYSTON RD, FAYSTON, VT, 05660"
MONTPELIER,05602,"35 WOODCREST RD, MONTPELIER, VT, 05602"
MORRISTOWN,05661,"327 GALLUP RD, MORRISTOWN, VT, 05661"
MONTPELIER,05602,"323 STATE ST, MONTPELIER, VT, 05602"
MANCHESTER,05255,"5023 MAIN ST, MANCHESTER, VT, 05255"
SALISBURY,05769,"67 WOODPECKER AVE, SALISBURY, VT, 05769"
BRADFORD,05033,"182 OLD ROUTE 5, BRADFORD, VT, 05033"
GRANVILLE,05747,"0 BUTTLES RD, GRANVILLE, VT, 05747"
STOWE,05672,"100 PASTURE DR, STOWE, VT, 05672"
ELMORE,05661,"3470 VT ROUTE 12, ELMORE, VT, 05661"
BENNINGTON,05201,"910 MIDDLE POWNAL RD, BENNINGTON, VT, 05201"
SHOREHAM,05770,"91 DOOLITTLE RD, SHOREHAM, VT, 05770"
RUTLAND TOWN,05701,"0 JOSHUA PL, RUTLAND TOWN, VT, 05701"
SALISBURY,05769,"3033 UPPER PLAINS RD, SALISBURY, VT, 05769"
WEST RUTLAND,05777,"115 HIGH ST, WEST RUTLAND, VT, 05777"
BURLINGTON,05401,"269 PEARL ST, BURLINGTON, VT, 05401"
RICHMOND,05477,"2274 JERICHO RD, RICHMOND, VT, 05477"
ORLEANS,05860,"26 NORTH AVE, ORLEANS, VT, 05860"
FAIR HAVEN,05743,"14 FURNACE ST, FAIR HAVEN, VT, 05743"
WASHINGTON,05675,"114 MORAN RD, WASHINGTON, VT, 05675"
SAINT ALBANS CITY,05478,"107 FAIRFIELD ST, SAINT ALBANS CITY, VT, 05478"
LUDLOW,05149,"1016 S  HILL RD, LUDLOW, VT, 05149"
BENNINGTON,05201,"107 MORGAN ST, BENNINGTON, VT, 05201"
WILLIAMSTOWN,05679,"41 WINDY ACRES RD, WILLIAMSTOWN, VT, 05679"
